00000003, 00000000 b9b77839 0906c7f3 8292a2b2 
00000004, 00000000 4d4283b7 c95ac425 84fa30a0 
00000005, 00000000 8d1e8061 b89ba56c 313ff0b1 
00000006, 00000000 fcdfe128 5bf795a4 c5ca0b3f 
00000007, 00000000 1fb3d1e0 113b4f17 059608e9 
00000008, 00000000 557f0b53 dfa3d4f6 745769a0 
00000009, 00000000 9be790b2 cd6fc422 973b5968 
0000000A, 00000000 892b8066 d2476c56 ddf783db 
0000000B, 00000000 96032812 5ab48b9f 136f183a 
0000000C, 00000000 1ef0cfdb 404be2ae 01a308ee 
0000000D, 00000000 040fa6ea 0d85eaca 1e8ba09a 
0000000E, 00000000 49c1ae8e f6dab5c1 96784753 
0000000F, 00000000 b29ef185 a27ab224 8c872e62 
00000010, 00000000 e63ef660 b06837ea c1492606 
00000011, 00000000 f42c73ae ea48715c 3a16790d 
00000012, 00000000 ae0c3518 eef6b74b 6eb67ee8 
00000013, 00000000 aab2f30f 6aab6c2a 7ca4fb26 
00000014, 00000000 2eef286e 0c62b739 2684bd90 
00000015, 00000000 4826f37d 23588b80 223a7b87 
00000016, 00000000 671ccfc4 3ac24320 a667a0e6 
00000017, 00000000 7e860764 6f05990a c0ae7bf5 
00000018, 00000000 2b41dd4e 2fafedcd ef94474c 
00000019, 00000000 6beba989 7dc16798 f60e8fec 
0000001A, 00000000 398523dc cd283656 a3c955c6 
0000001B, 00000000 896c7212 5e10c35e e3632101 
0000001C, 00000000 1a54871a b11e8261 b10dab54 
0000001D, 00000000 f55ac625 0f903438 01e4fa9a 
0000001E, 00000000 4bd4707c 009f1b63 92dc0f92 
0000001F, 00000000 44db5f27 09d8f9c0 7dd24ead 
00000020, 00000000 4d9cbd84 fb1f96dd c35cf8f4 
00000021, 00000000 bf5bd299 1df6931d cc53d7af 
00000022, 00000000 59b2d759 63a954fb c514350c 
00000023, 00000000 27ed10bf 33691db4 37d35a11 
00000024, 00000000 772d59f0 b04a78b6 d13a5fd1 
00000025, 00000000 f40e3cf2 66474c85 af659837 
00000026, 00000000 220308c1 cd274978 ffa5d178 
00000027, 00000000 89630d3c 3999ead0 7c86b47a 
00000028, 00000000 7dddae94 dc18a0d7 aa8b8049 
00000029, 00000000 985ce493 c4e3e30e 01eb85b4 
0000002A, 00000000 80a7a74a 27ac72ea f555261c 
0000002B, 00000000 63e836ae ae26ff26 10d46c1b 
0000002C, 00000000 ea62bb62 642d1eb8 082f2fc2 
0000002D, 00000000 20695afc 9314707d eb60be26 
0000002E, 00000000 d7503439 55637edb 62ea33ea 
0000002F, 00000000 11273a9f b03a097b a8e1d274 
00000030, 00000000 f47e4d3f f12bdbef 5fd8bcb1 
00000031, 00000000 b56f9fab 7b2045ba 99afb217 
00000032, 00000000 3f6401fe d70dd590 7cf6c5b7 
00000033, 00000000 934991d4 653cbbb3 3de71723 
00000034, 00000000 2178fff7 d32f01e1 b7ec8976 
00000035, 00000000 976b45a5 3a3eb608 1bc1195c 
00000036, 00000000 7e7af24c a1aaa627 a9f0777f 
00000037, 00000000 e5eee263 9deda698 1fe3cd2d 
00000038, 00000000 d9a9e2dc 423c2151 f6f27ac4 
00000039, 00000000 06786515 46d607af 6d666aeb 
0000003A, 00000000 029243eb 13226942 51216a54 
0000003B, 00000000 57662d06 a46b9902 8ef0ed9d 
0000003C, 00000000 e02fdd46 93653eba 8a1acb63 
0000003D, 00000000 d7217afe b09e7bab dfeea58e 
0000003E, 00000000 f4da3fef e780cdab 68a755ce 
0000003F, 00000000 a3c489ef 5e355e3a 5fa9f276 
00000040, 00000000 1a711a7e b63270a0 7c52b767 
00000041, 00000000 f27634e4 2166c6cd 2b4c0167 
00000042, 00000000 65228289 8133795a 92f992f6 
00000043, 00000000 c5773d1e b98303fb 7afebc6c 
00000044, 00000000 fdc747bf 82eb2311 edaa0a01 
00000045, 00000000 c6af6755 44f08b6d 4dffb596 
00000046, 00000000 00b4cf29 bb13df35 754fcf37 
00000047, 00000000 ff579b71 19939ce1 4e27efdd 
00000048, 00000000 5dd7d8a5 3c36bb1e 883c47a1 
00000049, 00000000 7872ff5a 3fd38e4b 77df13f9 
0000004A, 00000000 7b97ca0f c3cbecdb d55f502d 
0000004B, 00000000 878fa89f 6932ab6c f0fa77d2 
0000004C, 00000000 2d76ef28 2d000e24 f31f4287 
0000004D, 00000000 69444a60 208c5d34 0f072017 
0000004E, 00000000 64c81970 070c5ebd a5fe67a0 
0000004F, 00000000 43481af9 a33fa552 e1ccc2e8 
00000050, 00000000 e77be116 fb1a53b9 ec4091f8 
00000051, 00000000 bf5e17fd 01aded72 cbc09271 
00000052, 00000000 45e9a936 9d5851dd 6ff3699e 
00000053, 00000000 d91c1599 bd6948db 37d69f75 
00000054, 00000000 f92d0c9f 40a79fdc cd6121be 
00000055, 00000000 04e3db98 68a3b4f7 51949d11 
00000056, 00000000 2ce7f0b3 88144115 71a58417 
00000057, 00000000 cc500551 8562feff 8c6b5310 
00000058, 00000000 c126babb 0a537351 a46f783b 
00000059, 00000000 4e173715 6840a65f 44d88dd9 
0000005A, 00000000 2c04e21b e4d755ef 49ae3233 
0000005B, 00000000 a09311ab a37c7c93 c69fbf9d 
0000005C, 00000000 e73838d7 3cd9380c a48c6a93 
0000005D, 00000000 789d7c48 c009d94e 281b9923 
0000005E, 00000000 844d9d0a 47e95c73 6fb0b05f 
0000005F, 00000000 03ad1837 5086ae6a f015f4c0 
00000060, 00000000 14c2ea2e 5899fee5 0cc51582 
00000061, 00000000 1cddbaa1 d322d5bc 8b2590bf 
00000062, 00000000 976691f8 46fc8db3 9c4a62a6 
00000063, 00000000 02b8c9f7 b0d6ce39 94553229 
00000064, 00000000 f4928a7d 59f5ec33 1fee1970 
00000065, 00000000 1db1a877 c702172c 8a30417f 
00000066, 00000000 83465368 04e30c1e 7c1a02f5 
00000067, 00000000 40a7485a 51ceb148 953920ff 
